id,type,label,evidence
SVC_CASE,SERVICE,case services,current
SVC_WP,SERVICE,caseWorkPackage service,PR96
SVC_DOC,SERVICE,document services,current
SVC_DIFF,SERVICE,diff/extractor,PR94
SVC_COMM,SERVICE,communication services,current
SVC_COMP,SERVICE,compliance evaluator,current
MODEL_CASE,MODEL,Case,current schema
MODEL_WP,MODEL,WorkPackage*,ddb7459+current
MODEL_DOC,MODEL,Document/Version,current schema
MODEL_COMM,MODEL,Communication,current schema
MODEL_PORTAL,MODEL,Portal/Grant/Identity,9809c4c+current
MODEL_COMP,MODEL,Compliance entities,Phase6/7
MODEL_TIME,DATABASE_ENTITY,TimeEntry,current schema
WF_CI,WORKFLOW,backend-postgresql-integration,PR96/PR98
WF_SCANNER,WORKFLOW,malware-scanner-ci,PR97
PR91,PR,PR91,5e4d884
PR92,PR,PR92,prior review evidence
PR94,PR,PR94,recovery/document-docx-pdf-text-diff
PR95,PR,PR95,recovery/outlook-v1-inbound-workbench
PR96,PR,PR96,codex/work-package-runtime-current-canonical
PR97,PR,PR97,infra/production-malware-scanner-service
PR98,PR,PR98,recovery/case-work-package-productization-current
BR_CANON,BRANCH,release/editor-ops-workflow-1,c0ec1df
BR_PR91,BRANCH,audit/adminiculum-total-product-archaeology,5e4d884
BR_PR94,BRANCH,recovery/document-docx-pdf-text-diff,origin ref
BR_PR96,BRANCH,codex/work-package-runtime-current-canonical,origin ref
BR_PR98,BRANCH,recovery/case-work-package-productization-current,origin ref
COMMIT_CANON,COMMIT,c0ec1dfa2f13be267cab76e91d263ea0e0df8a28,release ref
COMMIT_WP,COMMIT,278e9fa,PR98 head lineage
COMMIT_DIFF,COMMIT,509412d,PR94 lineage
COMMIT_OUTLOOK,COMMIT,dbf229e,PR95 lineage
TEST_PG,TEST,PostgreSQL integration suites,workflow evidence
TEST_UI,TEST,frontend contract tests,history/current
TEST_SCANNER,TEST,production scanner E2E,PR97 review evidence
LIVE_AZURE,LIVE_SURFACE,Azure/SharePoint runtime,UNPROVEN
LIVE_OUTLOOK,LIVE_SURFACE,Graph Outlook runtime,UNPROVEN
LIVE_SCANNER,LIVE_SURFACE,external scanner deployment,UNPROVEN
CAP_DOCUMENT_DIFF,CAPABILITY,DOCUMENT_DIFF,PR94:versionText.ts
CAP_ANNOTATION,CAPABILITY,ANNOTATION,7c9a23:annotations.service.ts
CAP_DECISION,CAPABILITY,DECISION,d1d8fd6:review services
CAP_APPROVAL,CAPABILITY,APPROVAL,c0ec1df:review/contract transitions
CAP_PUBLICATION,CAPABILITY,PUBLICATION,c0ec1df:client-publication
CAP_CLIENT_EXPLANATION,CAPABILITY,CLIENT_EXPLANATION,c0ec1df:publication panels
CAP_PORTAL_IDENTITY,CAPABILITY,PORTAL_IDENTITY,PR92:identity repair
CAP_PORTAL_WORKSPACE,CAPABILITY,PORTAL_WORKSPACE,PR92:workspace selector
CAP_PORTAL_GRANT,CAPABILITY,PORTAL_GRANT,c0ec1df:resolveActiveCustomerGrant
CAP_COMMUNICATION_IMPORT,CAPABILITY,COMMUNICATION_IMPORT,c0ec1df:outlookGraphLive
CAP_COMMUNICATION_ASSOCIATION,CAPABILITY,COMMUNICATION_ASSOCIATION,c0ec1df:communication routes
CAP_COMMUNICATION_CASE_CREATION,CAPABILITY,COMMUNICATION_CASE_CREATION,PR95:146539d
CAP_WORK_PACKAGE_TEMPLATE,CAPABILITY,WORK_PACKAGE_TEMPLATE,c0ec1df:work-package-admin
CAP_WORK_PACKAGE_SNAPSHOT,CAPABILITY,WORK_PACKAGE_SNAPSHOT,c0ec1df:createCaseWorkPackageSnapshot
CAP_WORK_PACKAGE_TASK_CREATION,CAPABILITY,WORK_PACKAGE_TASK_CREATION,PR96:task service
CAP_TASK_TIME_LINK,CAPABILITY,TASK_TIME_LINK,c0ec1df:TaskSubmissionTimeEntry
CAP_COMPLIANCE_CASE_BINDING,CAPABILITY,COMPLIANCE_CASE_BINDING,c0ec1df:bindProposalToCase
CAP_HANDOFF_PACKAGE,CAPABILITY,HANDOFF_PACKAGE,c0ec1df:handoff package panel
